title,text,subject,date
Puerto Rico governor aims to pare cuts at public university,"NEW YORK (Reuters) - Puerto Rico’s governor proposed measures on Monday to reduce anticipated budget cuts at the University of Puerto Rico to $241 million by fiscal year 2021, from $450 million approved by the struggling U.S. territory’s fiscal oversight board. The measures, outlined by Governor Ricardo Rossello in a letter to the board, include transferring to the university some of the savings generated by upcoming cuts to healthcare spending; allowing the university to earn revenue by training public employees; and working with the island’s Science and Technology Trust to monetize the university’s patents, which UPR has historically struggled to do. The school’s fate is a sensitive issue locally, with student groups threatening strikes over the cuts. UPR’s budget has already been slashed by $348 million over the last three fiscal years, according to Rossello’s letter.     Its troubles are entangled with broad economic distress in the U.S. territory, where almost half the population lives in poverty and unemployment is more than twice the U.S. average. As the island buckles under $70 billion in debt, public healthcare and pension systems edge toward insolvency, and locals flock to the mainland United States. The territory’s finances are under the oversight of a federally appointed board, which some local critics condemn as  an extension of its colonial legacy. The board’s recommended austerity measures have drawn protests on the island. The board has urged reduced government subsidies, staff cuts and tuition fee hikes at UPR, the 11-campus, 70,000-student university that has produced four of the island’s ex-governors. The full $450 million cut would be a “dramatic negative” that would be “difficult for the university to absorb,” leaving it with a $157 million operating deficit, Moody’s Investors Service said in a note on Monday.  Hiking tuition is hard “given the highly price-sensitive student population,” Moody’s said. It added that while it expects UPR to make its $32 million debt payment on June 1, subsequent payments could be missed because the university stopped transferring money into trusts for debt payments under Puerto Rico’s 2016 emergency debt moratorium. Some economists say the school has room to trim fat.  Arnaldo Cruz, co-founder of the San Juan-based think tank Center for Integrity and Public Policy, said UPR spends too much on non-faculty positions and that its 11 campuses are too many on an island of 3.5 million. “We think that does not make sense on such a small island with a population in decline,” Cruz said.  ",politicsNews,"March 20, 2017 "
Kansas judge extends voting rights for those registered at motor vehicle offices,"(Reuters) - A Kansas judge extended voting rights through the Nov. 8 election of about 17,500 people who registered to vote at motor vehicle offices, court documents showed on Tuesday in one of the cases highlighting a political battle over identification laws enacted in Republican-led states. The ruling impacts people who submitted voter applications through Kansas motor vehicle offices but failed to provide proof of U.S. citizenship. The ruling by Judge Larry Hendricks of the third judicial court in Shawnee, Kansas, extends the temporary injunction he issued last month.  Under a state law that took effect in 2013, they were required to present a document such as a birth certificate. The judge’s ruling made on Friday said that the Kansas Secretary of State, Kris Kobach, must instruct election officials to allow the around 17,500 residents to “...vote for all offices on the ballot and to count all the votes cast on that ballot.” Kobach, a Republican who has become a national leader in pushing for anti-immigration and voting changes, said on Tuesday that his office would continue with the case. Hendricks has not made a final ruling.    “The state will proceed with discovery as directed by the court. As is normal, the temporary injunction remains in place until a final order is issued by Judge Hendricks,” Kobach said in a statement. Kansas’ law is one of the strictest voter identification statutes in the country, making the state a symbol for mostly Republican Party supporters who say the rules are meant to prevent voter fraud. Opponents, mostly Democrats, say they discriminate against minorities. The American Civil Liberties Union has argued that the statute conflicts with a federal law designed to make it easier to register to vote while getting a driver’s license.  Kobach asked the 10th U.S. Circuit Court of Appeals to place on hold a decision in May by a lower-court judge ordering the state to begin registering the roughly 17,500 residents affected by the law. [nL1N19301N]  In requesting the stay, the state said the order to begin to register voters would “result in extraordinary confusion on November 8, 2016.” But the Denver-based court rejected this argument in June. The law will not affect the state’s status as a safe Republican stronghold in the presidential election being contested by Democratic Party candidate Hillary Clinton and Republican Party candidate Donald Trump. ",politicsNews,"September 27, 2016 "
Trump says U.S. Senate candidate Moore should leave race if allegations true,"WASHINGTON (Reuters) - President Donald Trump finds the sexual misconduct allegations against U.S. Senate candidate Roy Moore “troubling” and thinks he should leave the race if they are true, the White House said on Thursday, as party leaders in Alabama stood by their nominee. Trump’s position did not go as far as other Republican leaders in Washington who have said they believe the women accusing the former Alabama Supreme Court chief justice and have demanded Moore withdraw from the race before the Dec. 12 vote. “The president believes that these allegations are very troubling and should be taken seriously,” White House spokeswoman Sarah Sanders said at a news briefing. “The president said in his statement earlier this week that if the allegations are true, then Roy Moore should step aside. He still firmly believes that,” she said. Asked if the president’s endorsement of Moore still stands, Sanders said Trump thinks Alabama voters should decide the winner of the race. Trump supported the Republican National Committee’s decision to withdraw resources from the contest, Sanders added. In the past week, multiple women have accused Moore of sexual improprieties or unwanted romantic advances they said occurred decades ago. Some of the women were teenagers at the time, and he was in his 30s. Moore, 70, has denied any wrongdoing. The married Christian conservative has said he is the victim of a witch hunt and has refused to drop out of the race. The allegations are “not only untrue but they have no evidence to support them,” Moore told a news conference on Thursday after about 20 supporters, including religious leaders, said they still backed his candidacy. In a tweet, he accused U.S. Senate Republican leader Mitch McConnell and others of trying “to steal this election from the people of Alabama.” The Alabama Republican Party on Thursday said its 21-member steering committee would continue to support Moore. “He deserves to be presumed innocent of the accusations unless proven otherwise,” state party Chairwoman Terry Lathan said in a statement.  Reuters was unable to independently verify the allegations by the women. Before the allegations surfaced, Moore was heavily favored to defeat Democrat Doug Jones in the special election next month. Moore scored a decisive Republican primary victory in September over Luther Strange, who was appointed to fill the vacant seat after Jeff Sessions became U.S. attorney general earlier this year. Trump backed Strange in the primary but threw his support to Moore after Strange’s defeat. A poll released on Wednesday by the Senate Republicans’ campaign arm showed Jones surging to a 12-point lead since the accusations became public. A Democratic win in Alabama would be a blow to Trump’s agenda and shift the political outlook for next year’s congressional elections, giving Democrats a stronger shot at recapturing control of the Senate. Republicans currently hold 52 seats in the 100-member upper chamber. ",politicsNews,"November 16, 2017 "
"Boeing, aerospace manufacturers back U.S. tax overhaul","SEATTLE (Reuters) - Boeing Co and about 90 other aerospace companies are urging Congress to overhaul the U.S. tax system, saying a set of changes Republicans proposed last year - including a big cut in the corporate tax rate - will make them more competitive globally and help create U.S. jobs. Boeing Chief Executive Dennis Muilenburg was among those who signed a letter to Republican and Democratic leaders in the U.S. House and Senate that was dated Friday and due to be released publicly on Tuesday, according to the Aerospace Industries Association (AIA). The support comes as congressional Republicans are developing measures to alter the U.S. tax system, a task they plan to tackle after addressing healthcare, according to several people familiar with the matter.  “We urge you to enact legislation that modernizes our tax system, allows America’s businesses to better compete in the global marketplace and encourages job creation and innovation in the United States,” said the AIA letter, also signed by the group’s CEO, David Melcher. The changes are based on a blueprint released in June by House Ways and Means Committee Chairman Kevin Brady, a Texas Republican. Among its key elements, Brady’s proposal would cut the U.S. corporate tax rate to 20 percent from 35 percent, permit immediate deductions for capital investment and introduce a border adjustment tax system that would tax imports into the United States but not tax revenue generated by exports out of the country. The push on taxes by aerospace companies comes as they face some uncertainty under the administration of President Donald Trump.  The new president lost no time in publicly pressing Boeing and Lockheed Martin Corp to lower costs on planes bought by the U.S. government. As they source parts and sell many of their products overseas, aerospace companies also stand to suffer if Trump’s aggressive trade policies cause friction with other countries.  Trump has voiced support for the tax reform plan, and spoke favorably about a border tax. Commerce Secretary Wilbur Ross later said Trump had not endorsed the House Republicans’ specific border adjustment tax plan. Drafters of the plan say a tax on imports would increase the value of the dollar, helping offset the cost of imports to U.S. manufacturers by giving them more purchasing power. A stronger dollar would, however, make U.S. goods more expensive for foreign buyers.  Boeing’s Muilenburg is AIA chairman this year and was joined in signing the letter by Raytheon Co CEO and AIA vice chairman Thomas Kennedy. Other companies involved in aerospace manufacturing also signed, including Lockheed Martin, General Electric Co, Northrop Grumman Corp, Honeywell International Inc, Rockwell Collins Inc, Rolls-Royce Holdings Plc, General Dynamics Corp, Harris Corp, International Business Machines Corp and L3 Technologies Inc.  The signatures were gathered at a supplier meeting in Seattle last week, Boeing said. AIA said it has more than 330 members. Boeing shares were trading at $178.89 in the afternoon on the New York Stock Exchange. ",politicsNews,"March 14, 2017 "
"Trump fills homeland security, environment, China ambassador jobs","WASHINGTON (Reuters) - President-elect Donald Trump on Wednesday picked a fossil fuel industry defender as his top environmental official, another retired general as homeland security chief and Iowa’s governor as U.S. ambassador to China in choices at odds with some of his recent pronouncements. Trump, continuing to build his Cabinet as he prepares to take office on Jan. 20, said Oklahoma Attorney General Scott Pruitt, 48, would be nominated to head the Environmental Protection Agency. Pruitt sued the EPA in a bid to undo a key regulation under outgoing President Barack Obama that would curb greenhouse gas emissions blamed for climate change, mainly from coal-fired power plants. Trump tapped retired Marine Corps General John Kelly, 66, for secretary of the Department of Homeland Security, whose responsibilities include immigration. Kelly, the third retired general named by Trump to a senior administration post, last year told Congress that a lack of security on the U.S.-Mexican border posed a threat to the United States. Trump’s transition team said Republican Iowa Governor Terry Branstad, 70, who has boasted of close ties to Beijing’s leaders, was picked as U.S. ambassador to China.  In addition, transition officials said Linda McMahon, 68, former CEO of professional wrestling company WWE and wife of wrestling kingpin Vince McMahon, was Trump’s choice to head the Small Business Administration. Trump has taken part in WWE events in the past and has close ties to the McMahons. He is a member of the WWE Hall of Fame. All four posts require Senate confirmation. Pruitt’s selection came despite a softer tone Trump has struck on environmental regulation since his Nov. 8 election. He has stepped back from casting climate change as a hoax, signaled he might be willing to allow the United States to continue participating in the Paris climate change deal aimed at lowering world carbon emissions, and met with former Vice President Al Gore, a leading environmental voice. Pruitt’s selection brought a quick rebuke from Democrats. “The head of the EPA cannot be a stenographer for the lobbyists of polluters and Big Oil,” House of Representatives Democratic leader Nancy Pelosi said of Pruitt. Trump’s campaign manager, Kellyanne Conway, brushed off the criticism, praising Pruitt’s record and telling reporters at Trump Tower: “We’re very accustomed to the naysayers and the critics.”  Trump talked tough during the campaign about deporting all of the estimated 11 million illegal immigrants in the United States and building a wall along the Mexican border. But since the election he has softened his comments on deportation and referred to some illegal immigrants as “terrific people.” Kelly would work in tandem with Republican Senator Jeff Sessions, Trump’s pick for attorney general, who is a leading advocate of cracking down on illegal immigration. The former four-star general would head a department in charge of securing borders against illegal immigration, protecting the president, responding to natural disasters and coordinating intelligence and counterterrorism. He formerly headed the Southern Command, responsible for U.S. military activities and relationships in Latin America and the Caribbean. He was a proponent of keeping open the U.S. military prison in Guantanamo Bay, Cuba. Trump previously picked retired Marine Corps General James Mattis as defense secretary and retired Army Lieutenant General Michael Flynn as national security adviser. Branstad has been an eager trading partner with China, helping Iowa sell agricultural goods to the Asian powerhouse. His choice came after Trump rattled the world’s second-largest economy with tough talk on trade and a telephone call with the leader of Taiwan. Trump has more key appointments to make in coming days, including the high-profile job of secretary of state. His team said former Republican presidential candidate Mitt Romney, a fierce Trump critic during the campaign, is still under consideration for a diplomatic job. Aside from the personnel announcements, Trump basked in being named Time magazine’s “person of the year,” telling NBC’s “Today” show, “It’s a great honor, it means a lot.” In an interview with Time, Trump continued to take on corporate America, promising to bring down drug prices and causing shares of U.S. pharmaceutical and biotech companies to fall. ",politicsNews,"December 7, 2016 "
Twitter case shows breadth of U.S. power to probe anti-Trump statements,"NEW YORK/WASHINGTON (Reuters) - An attempt by U.S. authorities to identify an anonymous critic of President Donald Trump on Twitter has set off alarm bells among Democratic and Republican lawmakers and civil liberties advocates fearful of a crackdown on dissent.  Twitter Inc on Friday succeeded in beating back a demand for records about a Twitter account called ALT Immigration (@ALT_uscis), which pokes fun at Trump’s immigration policies and appears to be run by one or more federal employees. The U.S. government withdrew an administrative summons that customs agents had sent the company in March demanding the records. But the government backed away only after Twitter filed a federal lawsuit accusing it of violating the First Amendment’s protection of free speech. Customs agents could still continue the investigation using some other methods, civil liberties attorneys said. Although authorities retreated, the case has laid bare the broad power of the U.S. government to demand information from technology companies, sometimes with no oversight from the courts and often with built-in secrecy provisions that prevent the public from knowing what the government is seeking.     The summons that Twitter received came from agents who investigate corruption and misconduct within U.S. Customs and Border Protection (CBP). Even after it was withdrawn, some lawmakers had questions about the agency’s actions. “CBP must ensure that any properly authorized investigation does not disregard the rights to free speech enshrined in the First Amendment to the U.S. Constitution,” two Republican U.S. senators, Cory Gardner of Colorado and Mike Lee of Utah, wrote in a letter on Friday to Homeland Security Secretary John Kelly.  The senators asked whether the agency would ever ask a private company to divulge private records about a customer based solely on “non-criminal speech.” Senate Democrat Ron Wyden of Oregon called for an investigation of whether customs agents had violated a law by retaliating against an internal critic.  The Department of Homeland Security plans to respond directly to the senators, an official said on Friday. There are two primary ways the U.S. government can obtain information from internet companies without a judge’s approval using a law known as the Electronic Communications Privacy Act, according to experts in privacy law. Agencies with enforcement power, such as the Internal Revenue Service, can issue administrative subpoenas demanding user records. Prosecutors can also ask grand juries investigating a crime to issue a subpoena.  An aggressive agency, for example, might demand information about a Twitter account that used an agency logo on the grounds that it is deceptive, said Georgetown University law professor Paul Ohm. Similarly, a prosecutor could ask a grand jury to issue a subpoena based on the idea that a federal employee, suspected of criticizing the administration anonymously, was misusing government resources. “It doesn’t take a brilliant legal mind to think of hypotheticals,” Ohm said. Further, such subpoenas are usually kept secret, making them more difficult to challenge. Some other government tools, such as a national security letter, are intended to be used for narrow purposes related to counter-terrorism investigations. But they do not require judicial approval either, instead relying on internal safeguards. Challenging such demands is difficult and often requires deep pockets, attorneys familiar with such orders said. “It’s important to keep in mind how formidable the government’s range of investigatory powers is,” said Andrew Crocker, a staff attorney with the Electronic Frontier Foundation, which advocates for digital rights. In the case of ALT Immigration, Twitter said it was not bound to keep the summons a secret, and the company informed the account holder of the government demand. That person then found legal representation with the American Civil Liberties Union (ACLU).  Esha Bhandari, the ACLU staff attorney representing the dissident, said she thinks the speed with which the government withdrew its summons - less than a day after Twitter sued - means the customs agents will cease investigating, but she cannot be sure. “It’s impossible to predict, of course, but I’m hopeful that this really is a recognition that people have the ability to speak online including in ways that are critical of the government,” Bhandari said. The Department of Homeland Security has not said what its plans are for the investigation.  After Trump’s inauguration in January, anonymous Twitter feeds that borrowed the names and logos of more than a dozen U.S. government agencies appeared to challenge the president’s views on climate change and other issues. They called themselves “alt” accounts. Twitter has declined to say if it has received any other government demands to reveal such anti-Trump critics. ",politicsNews,"April 8, 2017 "
Defense Secretary Mattis sees growth for Silicon Valley defense unit,"MOUNTAIN VIEW, Calif. (Reuters) - U.S. Defense Secretary Jim Mattis said on Thursday an Obama-era experimental defense outpost in Silicon Valley would grow in importance under the Trump administration and that the nation’s technology entrepreneurs were vital to national defense. Mattis paid his first official visit to the Pentagon’s Defense Innovation Experimental Unit, or DIUx, in Mountain View, California, as part of a two-day outreach tour to the U.S. technology industry intended to highlight the Pentagon’s commitment to technology innovation. “There is no doubt in my mind that DIUx will not only continue to exist, it will actually grow in its influence and its impact on the Department of Defense,” Mattis told reporters during brief remarks at the DIUx facility. DIUx was set up two years ago by Mattis’ predecessor, Ash Carter. It serves as a Pentagon hub for attracting private-sector innovation to solve complex and technical military challenges. But DIUx has faced criticism from some Republican lawmakers who have questioned its value and organization. The program underwent an overhaul in May 2016, less than a year after launching. Since June of last year DIUx has awarded $100 million in contracts for 45 pilot projects in areas including artificial intelligence, autonomous machines and space. The unit currently has 48 staff and is expected to grow to about 75 by the end of 2018, said Sean Singleton, DIUx’s director of engagement. Mattis said DIUx would help the U.S. military become “more lethal and more capable of defending our experiment that is called the United States of America.” The unit’s leadership was reporting directly to his senior staff, Mattis said, adding that he expected DIUx would help the military incorporate advances in artificial intelligence taking place in Silicon Valley. The defense secretary’s visit came as the Trump administration has sparred with the technology industry on a host of issues, including immigration, climate change and privacy. Earlier on Thursday Mattis visited Amazon’s headquarters in Seattle. He was expected to visit Alphabet’s Google headquarters in Palo Alto, California, on Friday. “A pleasure to host #SecDef James Mattis at Amazon HQ in Seattle today,” Amazon Chief Executive Jeff Bezos wrote on Twitter in a post that included a photo of him and Mattis smiling at one another.     ",politicsNews,"August 10, 2017 "
Trump commutes fraud sentence of kosher meatpacker,"WASHINGTON (Reuters) - President Donald Trump, in a first exercise of his power to commute criminal sentences, cut short the 27-year prison term of a kosher meatpacking executive who was convicted eight years ago of bank fraud, the White House said on Wednesday. The commutation granted to Sholom Rubashkin, 57, marked only the second time that Trump has invoked his clemency authority as president, following the blanket pardon he granted earlier this year to Joe Arpaio, the former sheriff of Maricopa County in Arizona. Unlike the case of Arpaio, whom a judge had found guilty of contempt in a case involving racial profiling, Trump’s latest action leaves Rubashkin’s conviction intact, as well as terms of his supervised release from federal prison and his obligation to make restitution. Rubashkin was convicted in 2009 of 86 counts of financial fraud that came to light after a government raid on a kosher meatpacking plant in Postville, Iowa, where hundreds of undocumented immigrant workers were arrested. Rubashkin, a father of 10, was the chief executive overseeing the slaughterhouse and headquarters for a family business that was then the largest kosher meat-processing company in the United States.  The U.S. Supreme Court in 2012 refused to hear an appeal contesting Rubashkin’s sentence, which his lawyers argued was excessive for a first-time, non-violent offender. His lawyers also contended, to no avail, that he was entitled to a new trial based on evidence of alleged judicial misconduct. The case sparked an outcry from members of the legal and Orthodox Jewish communities who rallied to Rubashkin’s defense. The White House statement cited letters of support for review of Rubashkin’s case from more than 30 members of Congress of both parties, including House of Representatives Democratic leader Nancy Pelosi and veteran Republican Senator Orrin Hatch.  Trump also pointed to bipartisan expressions of support for review of the case from over 100 former high-ranking U.S. Justice Department officials, prosecutors, judges and legal scholars. The White House further noted criticism of Rubashkin’s sentencing as unusually harsh in comparison to penalties imposed on others for similar white-collar crimes. Former Enron chief executive Jeffrey Skilling was originally sentenced to 24 years in prison, but a federal judge later shortened his term of 14 years. The former CEO of Tyco International Ltd, L. Dennis Kozlowski, was sentenced to 8-1/3 to 25 years in prison and was paroled after serving eight. ",politicsNews,"December 21, 2017 "
Gulf carriers may be in focus under foreign airline U.S. tax exemption cut,"(Reuters) - A U.S. congressional proposal that would eliminate income tax exemptions for certain airlines could affect major Gulf carriers, potentially worsening an international spat between U.S. airlines and their Middle East rivals. U.S. airlines have been petitioning the federal government for years to intervene in what they see as unfair competition by the three major Gulf carriers.    The proposal, tucked deep in the Senate tax-cut plan, calls for airlines headquartered in foreign countries to pay the U.S. incorporate tax rate if: 1) the carrier’s home country does not have an income tax treaty with the United States and 2) the carrier’s country of origin has fewer than two arrivals and departures, per week, operated by major U.S. airlines.  Airways, Emirates [EMIRA.UL] and Etihad Airways have for years been accused by U.S. competitors of being illegally subsidized by their governments. The Gulf carriers deny the accusation. They could not immediately be reached for comment on Thursday. If the proposal passes, it could leave the Gulf carriers more vulnerable because their home countries – the United Arab Emirates and Qatar – do not have income tax treaties with the United States, according to the Internal Revenue Service website. A number of nations could possibly also be affected at a time when perceived discrepancies in U.S. trade agreements are facing a critical eye from U.S. corporations and the federal government.       The language in the Senate proposal sets the stage for a crackdown in tax leniency for these and other airlines. This would likely be well-received by American carriers, which have for years petitioned the U.S. government to intervene in the dispute. Under U.S. tax treaties, entities of foreign countries are either exempt or pay a reduced rate on their income, and vice versa for U.S. entities abroad. Reciprocity agreements, however, are less formal deals that fall short of an official accord, according to tax attorney Sam Brotman of Brotman Law. “Reciprocity agreements are usually with countries that are not necessarily 100 percent friendly with the U.S.” Brotman said on Thursday. “We’ll call it a handshake deal.” The bill’s wording stands to ramp up an already tense battle between U.S. airlines and Gulf carriers.  The addition was introduced by U.S. Senator Johnny Isakson of Georgia. Delta Air Lines (DAL.N), one of the most vocal critics of Gulf carrier practices, is headquartered in Atlanta.  A spokeswoman for Isakson did not mention the Gulf airlines.    “This provision supports American jobs by providing a level playing field and mutual fairness in international passenger aviation,” Isakson spokeswoman Marie Gordon said in an email on Thursday.  “Foreign airlines should not receive preferential tax treatment if their countries choose not to open their markets to U.S. companies.” Delta declined to comment. ",politicsNews,"November 17, 2017 "
"Republican tax bill stumbles on deficit 'trigger,' new options weighed","WASHINGTON (Reuters) - A Republican tax bill in the U.S. Senate stalled on a procedural problem late on Thursday, forcing lawmakers to weigh new options to an amendment sought by a leading fiscal hawk to address a projected large expansion of the federal deficit under the measure, senators said. Senator Bob Corker had wanted to add a provision to the bill that would trigger automatic tax increases in years ahead if the tax cuts in the bill failed to boost the economy and generate revenues sufficient to offset the deficit expansion. But the Senate parliamentarian barred Corker’s “trigger” proposal. “We just got the realization from the parliamentarian that that’s probably not going to work,” said Republican Senator David Perdue. In response, Republicans were considering building future tax increases into their bill. “It’s not a threshold anymore. It’s just a tax increase. ... The only thing that’s come off the table is the trigger concept,” Perdue said. ",politicsNews,"November 30, 2017 "
