title,text,site,date,category,class,url
ICC Prosecutor Leading Charge Against Israel Meets Syria's Jihadi Overlords,"International Criminal Court (ICC) prosecutor Karim Khan visited Damascus, Syria, this weekend to meet with jihadi warlord Ahmed al-Sharaa, the de factor leader of the country after the fall of the Assad family regime. In a message the ICC published on social media, the world court said British lawyer Khan expressed gratitude to ""Syrian authorities"" for ""open & constructive discussions"" regarding holding war criminals and others accountable following the resolution of the Syrian Civil War. Syria endured over a decade of civil war under deposed dictator Bashar Assad that evolved into a melee featuring both fighting between the Assad regime and several opposition militias and a host of terrorist, separatist, and state actors fighting each other in Syria for a variety of reasons. The context of the Syrian civil war allowed the Islamic State to carve out land for a ""caliphate"" in the northern region of Raqqa that was ultimately eradicated through collaboration between the United States and the Syrian Democratic Forces (SDF), a coalition of Kurdish-led militias that largely avoided fighting for or against Assad. The war ended in early December when Assad fled the country for Russia. Ahmed al-Sharaa, formerly known by his jihadist name Abu Mohammed al-Jolani, became the de facto leader of the country as the head of the al-Qaeda offshoot militia Hayat Tahrir al-Sham (HTS). HTS launched a surprise assault of Assad forces in late November in Aleppo, Syria's second-largest city, that sent Assad forces fleeing. The striking success of HTS in Aleppo led to successive captures of territory from Idlib to Damascus; the militia's arrival to the capital prompted Assad to flee. Human rights groups and the United Nations have documented widespread evidence that Assad and several other actors in the civil war committed war crimes, crimes against humanity, and other atrocities. The ICC is an international court with jurisdiction to prosecute individuals for three types of crimes: genocide, war crimes, and crimes against humanity. Khan's visit to Syria was reportedly intended to begin the process of formal investigations potentially leading to ICC convictions. Reuters reported that Sharaa's nascent regime invited Khan to discuss war crimes. Khan proclaimed himself pleased with conversations with Sharaa on the possibility of international justice for Syrian civil war crimes. ""Some of the remarks coming out of Syria by the transitional government seem to have indicated an openness to justice and accountability for crimes that may have taken place,"" Reuters quoted Khan as saying. ""I think we're happy to take part in the conversation to tell them the options that they have."" The visit was reportedly a "" surprise "" stop for Khan and the ICC did not offer any specific steps forward for its participation in Syrian justice. Syria is not a signatory to the Rome Statute, which established the ICC, so it does not have to accept ICC jurisdiction. The ICC statements and quotes from Khan did not indicate that he discussed in any depth with Sharaa the crimes that HTS terrorists may have committed themselves during the decade-plus of its existence, or what the new Syrian regime would do to defend the human rights of its beleaguered civilians. HTS is a U.S.-designated terrorist organization that sprang out of al-Qaeda. American authorities were offering a $10 million bounty for Sharaa himself, as the leader of the jihadists, until former President Joe Biden rescinded the reward in December. Sharaa, now wearing Western-style suits instead of military fatigues, has offered vague public statements asserting that he would lead an ""inclusive"" government and respect the existence of religious and ethnic minorities in the country, but also affirmed that the government replacing Assad would be Islamist. ""We take pride in our culture, our religion and our Islam. Being part of the Islamic environment does not mean the exclusion of other sects. On the contrary, it is our duty to protect them,"" Sharaa said in an interview in December. Prior to the HTS takeover of the country, Sharaa told CNN that ""people who fear Islamic governance either have seen incorrect implementations of it or do not understand it properly."" Religious minorities, particularly Christians and Alawite Muslims, have expressed alarm at HTS becoming the de facto government of their country. Religious persecution experts have warned that the jihadists have a history of persecuting non-Sunni Muslims and Christians are not safe under HTS. ""HTS, with its al-Qaeda/ISIS roots, has historically been very violent towards Christian minorities, which should mean increased persecution,"" Jeff King, the president of International Christian Concern (ICC), told Breitbart News this month. ""The fall of Aleppo to these groups [Christians] will signify the beginning of the end for one of the last significant Christian strongholds in the region if unchecked."" Critics noted Khan's apparent lack of interest in minority persecutions in contrast to his energetic attempts to prosecute the government of Israel for defending itself following the terrorist atrocities by the jihadists of Hamas on October 7, 2023. Khan requested arrest warrants for Israeli Prime Minister Benjamin Netanyahu and his defense minister at the time, Yoav Gallant, claiming they were engaging in crimes against humanity in the Hamas-controlled Gaza region. The ICC issued the warrants in November. Israeli Foreign Minister Gideon Saar condemned Khan for meeting with the HTS leadership following his visit. ""He [Khan] already ran to Damascus to meet with al-Julani, head of HTS (designated as a terrorist organization by the UN Security Council), and former al-Qaeda operative,"" Saar wrote in a social media message. ""So much for 'international legal institutions'. Show me who your friends are and I'll tell you who you are."" ""Karim Kahn didn't find the time to come to Israel, a democratic country governed by the rule of law and with an independent judiciary, before issuing arrest warrants against its democratically elected leaders,"" Saar observed.",Breitbart,2025-01-20T20:16:03+00:00,Politics,Polarised,https://www.breitbart.com/middle-east/2025/01/20/icc-prosecutor-leading-charge-against-israel-meets-syrias-jihadi-overlords/
"Exclusive — Senate Sources: FBI, Senate Democrats Reason for Tulsi Gabbard’s Slow-Walked Confirmation","Former Rep. Tulsi Gabbard, President Donald Trump's nominee to be Director of National Intelligence (DNI), is one of the only members of his national security team in his Cabinet to not even have a Senate hearing scheduled yet. Senate sources familiar with the matter told Breitbart News on Monday that the FBI's background check of Gabbard is taking close to the maximum amount of time the FBI has had to conduct it and is expected back to the Senate Intelligence Committee sometime in the next 24 to 48 hours. As soon as the FBI background check documents are filed with the committee, Sen. Tom Cotton (R-AR)—who chairs the Intelligence Committee—is expected to formally file a notice to schedule Gabbard's confirmation hearing. That's where Senate Democrats come in. If they do not agree to expedite Gabbard's hearing—Sen. Mark Warner (D-VA) is the main player here, as he is the top Democrat on the Senate Intelligence Committee—then the committee under its rules needs to notice the hearing a full seven days later from the notice when it's filed. That means Gabbard's confirmation hearing could drag into next week, and her full confirmation before the Senate could drag into February depending on how ridiculous Democrats get with this whole process. A lot of people close to Gabbard and Trump want to see the Senate Republicans really aggressively throw down hard against the Senate Democrats on this matter, too, multiple sources familiar with the process told Breitbart News. At this point, though, Senate Republicans have not aggressively publicly called out Democrats too much here. That could change in the days after President Trump's and Vice President JD Vance's inauguration on Monday, as sources close to Senate leaders say Republicans are quickly growing frustrated with Democrat obstruction and deep state efforts to slow-walk Trump's cabinet picks. The Senate Intelligence Committee requires nominees it considers to submit multiple elements of paperwork. The first element is Office of Government Ethics filings which Gabbard has already submitted. The second is the FBI background check, and the window for that to be finalized is quickly closing. An agreement between the Trump Transition and the federal government limits the FBI background check timing to 14 days, and the FBI began its process with Gabbard around Jan. 8, per Senate sources. That means the documents should be in front of the committee by later this week, Wednesday at the latest, and as soon as that happens Cotton is expected to notice the hearing for exactly 7 days later. But again, if Warner and the Democrats dropped their nonsense, Cotton could get the hearing scheduled faster—perhaps as early as Wednesday or Thursday of this week. That's what happened with Trump's pick to lead the CIA, John Ratcliffe, who actually had his hearing before the FBI documents were submitted and might even be confirmed by the full U.S. Senate by later on Monday depending on if Democrats consent to move forward. Ratcliffe has the votes for confirmation, and will be confirmed; the only question is whether the Senate Democrats agree to streamline the confirmation vote or resist speedy confirmation. Interestingly, four years ago when former President Joe Biden's pick for DNI was up for confirmation, the Senate agreed to confirm her–Avril Haines–literally on Inauguration Day. Haines got 84 votes, including from several of the Republicans who have yet to wholeheartedly endorse Gabbard. Haines has been a complete radical leftist, so there is zero justification for any Republican who voted for Haines not voting Gabbard. These include Sens. Susan Collins (R-ME) and Todd Young (R-IN). Anything less than full support for Gabbard after they voted for Haines would be seen as a complete betrayal of the nation's security and a demented denialism of the election results from November 5. What's more, the longer these establishment Republicans hold off on publicly backing Gabbard and the longer Democrats keep blowing through every procedural trick in the book to drag this out longer, they are harming national security and these senators would end up being personally responsible for emboldening bad actors on the world stage. In addition, there is a radical leftist who supports ""Diversity, Equity, and Inclusion"" who is currently serving as the acting DNI until such time as Gabbard is confirmed: Of course, any Senate Republican who does not publicly back Gabbard at this time and work aggressively to speed up the confirmation process and pressure Democrats to get on board with moving quickly would be personally responsible for this insanity being installed at the office of the DNI in the Trump administration right now.",Breitbart,2025-01-20T20:08:56+00:00,Politics,Polarised,https://www.breitbart.com/politics/2025/01/20/exclusive-senate-sources-fbi-senate-democrats-reason-tulsi-gabbards-slow-walked-confirmation/
Trump: Official U.S. Government Policy Is 'There Are Only Two Genders',"President Donald Trump in his inauguration speech on Monday unequivocally rejected the gender insanity pushed by the Biden administration over the past four years. The 45th and 47th president reclaimed biological reality in the U.S. Capitol building in Washington, DC, and promised to restore U.S. government policy to reflect the truth that there are only two sexes. ""As of today, it will henceforth be the official policy of the United States government that there are only two genders: male and female,"" he said, garnering a standing ovation from those in attendance. The outgoing Biden administration was unabashed in its efforts to push gender ideology and transgenderism both in the United States and abroad , hoisting transgender flags at agencies , embassies , and the White House . Specifically, the far-left administration attempted, mostly through unelected bureaucrats and rulemaking , to codify ""gender identity"" into all aspects of life , ignoring the differences between the equal, yet complimentary sexes. One outcome of gender ideology has been the attempted erasure of women's sports and spaces, including locker rooms , restrooms , and even prisons . Most notably, the Biden administration backed sex change drugs and procedures for children, and fought for confused children to access mutilating drugs and surgeries, even though such methods can lead to infertility . Transgender activists frequently claim that such sex-mutilating drugs and procedures for confused minors reduce suicides and improve mental health — dubious claims which increasingly appear untrue as more studies and data come to light. Many people who have undergone these sex change drugs and procedures as minors and later decided to reverse course, called detransitioners , have begun speaking out about the irreversible physical damage and mental torment they have experienced . RELATED STORY: Detransitioner: Genital Surgery 'Destroyed My Life' — 'You Need to Be Insane' to Think This Helps Patients In stark contrast, Trump promised on the campaign trail and after the election to protect women's sports and spaces and children from experimental procedures. ""With a stroke of my pen on day one, we're going to stop the transgender lunacy,"" Trump said in a speech at Turning Point USA's AmericaFest in December. ""And, I will sign executive orders to end child sexual mutilation — get transgender out of the military and out of our elementary schools, and middle schools, and high school."" ""And, we will keep men out of women's sports,"" Trump added. ""And, that will likewise be done on day one. Should I do day one, day two, or day three? How about day one? Under the Trump administration, it will be the official policy of the United States government, that there are only two genders, male and female.""",Breitbart,2025-01-20T19:48:21+00:00,Politics,Polarised,https://www.breitbart.com/politics/2025/01/20/trump-in-inauguration-speech-official-policy-of-u-s-government-is-there-are-only-two-genders-male-and-female/
Javier Milei Condemns Brazil for Keeping Bolsonaro from Trump Inauguration,"President of Argentina Javier Milei blamed the ""regime"" of Brazilian radical leftist President Luiz Inácio Lula da Silva for not allowing conservative former President Jair Bolsonaro to travel to the United States for the inauguration of President Donald Trump. ""He [Bolsonaro] is my friend. I'm very sorry that the Lula regime won't let him come,"" Milei told Brazilian reporters on Saturday during his attendance at the Hispanic Inaugural Ball. Bolsonaro, a staunch supporter of President Trump and the MAGA movement, has been banned from leaving his country since February 2024 after Supreme Federal Tribunal (STF) Justice Alexandre de Moraes ordered local police to seize his passport as part of a broad probe into an alleged ""coup"" plot following his narrow defeat in the 2022 presidential election. Shortly after the election of President Trump and Vice President JD Vance in November, Bolsonaro stated that, should he receive an invitation, he would seek permission from Brazil's STF to have his passport temporarily returned so that he could attend. STF Justice de Moraes – a self-styled ""anti-fake news crusader"" and rapporteur of several open cases against Bolsonaro who has ordered police raids against Bolsonaro and his family — denied Bolsonaro's request and subsequent appeal last week. De Moraes claimed the email invitation he received from the Trump Vance Inaugural committee was not sufficient proof he was invited. De Moraes also justified refusing the request by claiming that Bolsonaro represented a ""flight risk"" and that he showed ""indications"" that he may try to flee Brazil and claim political asylum. Bolsonaro's wife, former Brazilian First Lady Michelle Bolsonaro traveled to the United States to represent him, instead. His son Eduardo, a Brazilian lawmaker, was also invited. Jair Bolsonaro posted a photo of his wife and son in America on Monday and congratulated Trump on his inauguration. While unable to travel, Bolsonaro accompanied his wife to Brasilia's international airport on Saturday and told reporters that he was ""upset"" over de Moraes' refusal to allow him to travel to the United States. ""It would obviously be great for me to go there. So much so that President Trump invited me. I'm upset. I'm still shaken,"" Bolsonaro said. The former Brazilian President also criticized de Moraes and denounced being the target of a ""blatant persecution"" by the STF justice who, Bolsonaro asserted, is doing ""whatever he wants"" with the intention of ""eliminating"" Brazil's right wing. ""Unfortunately, I was unable to attend this event in the United States and without having been convicted a single time,"" Bolsonaro said. ""They will not defeat us with narratives. A person in the Supreme Court cannot be the owner of the truth, the owner of the world."" January 20 marks the first presidential inauguration in U.S. history that features international heads of state among its guests. President Luiz Inácio Lula da Silva, who reportedly did not receive an invitation, will be represented by Ambassador Maria Luiza Viotti. According to Brazilian outlets, a delegation of 21 lawmakers, including Bolsonaro's son Eduardo Bolsonaro, attended the U.S. Presidential inauguration ceremony. In remarks given during a Monday morning meeting with his ministers, Lula said that he hopes the United States continues to be a ""historic partner"" of Brazil throughout Trump's second administration. ""There are those who say that Trump's election may cause problems for world democracy. As president of Brazil I hope that he will have a profitable administration (...) and that the Americans will continue to be Brazil's historical partner,"" Lula said. On Sunday, Eduardo Bolsonaro published a video on his Instagram account of former First Lady Michelle Bolsonaro holding a video call with Jair Bolsonaro while she participated in a dinner on the eve of January 20. View this post on Instagram A post shared by Eduardo Bolsonaro (@bolsonarosp)",Breitbart,2025-01-20T19:46:30+00:00,Politics,Polarised,https://www.breitbart.com/latin-america/2025/01/20/javier-milei-condemns-brazil-for-keeping-bolsonaro-from-trump-inauguration/
President Donald Trump to Declare National Emergency at Southern Border,"President Donald Trump will declare a national emergency at the southern border, he announced Monday during his inaugural address in the U.S. Capitol rotunda. Trump wielded the critical issue of border security with incredible effectiveness during his campaign against Vice President Kamala Harris, and his policy-heavy inaugural speech made clear he will move swiftly to act on his campaign promises. ""Today, I will sign a series of historic executive orders,"" Trump said. ""With these actions, we will begin the complete restoration of America and the revolution of common sense. It's all about common sense."" He continued, ""First, I will declare a national emergency on our southern border. All illegal entry will immediately be halted and we will begin the process of returning millions and millions of criminal aliens back to the places from which they came. We will reinstate my Remain in Mexico policy, I will end the practice of catch and release, and I will send troops to the southern border to repel the disastrous invasion of our country."" Trump will go even further. ""Under the orders I sign today, we will also be designating the cartels as foreign terrorist organizations,"" he said. ""And by invoking the Alien Enemies Act of 1798, I will direct our government to use the full and immense power of federal and state law enforcement to eliminate the presence of all foreign gangs and criminal networks, bringing devastating crime to U.S. soil, including our cities and inner cities."" ""As Commander in Chief, I have no higher responsibility than to defend our country from threats and invasions, and that is exactly what I am going to do,"" Trump said. ""We will do it at a level that nobody has ever seen before.""",Breitbart,2025-01-20T19:12:44+00:00,Politics,Polarised,https://www.breitbart.com/politics/2025/01/20/president-donald-trump-declares-national-emergency-southern-border/
"Trump Promises Release of JFK, RFK, MLK Assassination Records","President Donald Trump vowed during his pre-inauguration speech on Sunday night to release records ""in the coming days"" related to the assassinations of former President John F. Kennedy, Robert F. Kennedy, and Martin Luther King Jr. Trump also promised to release records related to ""other topics of great public interest,"" during the event at Washington, DC's Capital One Arena. ""As a first step toward restoring transparency and accountability to government, we will also reverse the overclassification of government documents, and in the coming days, we are going to make public remaining records relating to the assassinations of President John F. Kennedy, his brother Robert Kennedy, as well as Dr. Martin Luther King, Jr. and other topics of great public interest,"" the 45th and 47th president said. "" It's all going to be released, Uncle Sam,"" he added. Robert F. Kennedy's son, Robert F. Kennedy Jr., notably backed Trump's 2024 bid for the presidency, and has been selected by Trump to lead the Department of Health and Human Services (HHS). During his campaign, Trump pledged to create a commission on presidential assassination attempts, as a tribute to RFK Jr. ""After I was — can't even believe I have to say this — nearly assassinated in Pennsylvania last month, Bobby called me to express his best wishes. He knows firsthand the risks incurred by leaders who stand up to the corrupt political establishment,"" Trump said at the time. ""And when you stand up, you bring on some trouble for yourself, but you have to do what's right. You have to do what's right for the country. I'll tell you, we are both in this to do what's right for the country."" Both Kennedy's father and uncle were assassinated. Kennedy's father, Robert F. Kennedy, was shot on June 5, 1968, after winning the Democrat primary in California and died the next day. Kennedy's uncle, former President John F. Kennedy, was assassinated on November 22, 1963. Robert F. Kennedy Jr. has been very vocal in his belief that the CIA was involved in the killing of his uncle, although the agency denies the accusations. ""He lost his father and uncle in service to our country, and Bobby himself was subject to repeated threats to his safety during the course of his campaign, while being denied protection by the Harris-Biden administration,"" Trump said. The Biden administration notably only ordered Secret Service protection for RFK Jr. after the Trump assassination attempt and after Trump demanded protection for him. During his rally on Sunday, Trump additionally promised to sign over 200 executive orders on day one of his administration. ""Every radical and foolish executive order of the Biden administration will be repealed within hours of when I take the oath of office,"" Trump said.",Breitbart,2025-01-20T18:59:23+00:00,Politics,Polarised,https://www.breitbart.com/politics/2025/01/20/trump-promises-release-jfk-rfk-mlk-assassination-records-coming-days/
President Donald Trump Lights Up Political Class: Election a Mandate to Reverse 'Horrible Betrayal' of Americans,"President Donald Trump's election was a mandate to reverse the ""horrible betrayal"" of America and its values, Trump said in his inauguration speech delivered in the Capitol Rotunda right after taking the oath of office to become the 47th President of the United States. ""From this day forward, our country will flourish and be respected again all over the world. We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer,"" Trump said, adding, ""During every single day of the Trump administration, I will very simply put America first."" Trump promised that the country will be more ""exceptional"" than ever before, lighting up the political class for leaving Americans in the dust over the last four years. ""We must be honest about the challenges we face; while they are plentiful, they will be annihilated by this great momentum that the world is now witnessing,"" he said, explaining that the U.S. government now faces a ""crisis of trust."" ""For many years, a radical and corrupt establishment has extracted power and wealth from our citizens, while the pillars of our society lay broken and seemingly in complete disrepair,"" he continued, noting that the government — as it currently operates — cannot even manage a ""simple crisis at home, while at the same time stumbling into a continuing catalog of catastrophic events abroad."" RELATED — Donald J Trump Sworn in for the Second Time, Now the 47th President of the United States ""It fails to protect our magnificent law-abiding American citizens, but provide sanctuary and protection for dangerous criminals, many from prisons and mental institutions that have illegally entered our country from all over the world,"" he said. ""We have a government that has given unlimited funding to the defense of foreign borders but refuses to defend American borders, or, more importantly, its own people. Our country can no longer deliver basic services in times of emergency, as recently shown,"" he said, citing the devastation in North Carolina from Hurricane Helene and wildfires in California. ""We have a public health system that does not deliver in times of disaster, yet, more money is spent on it than any country anywhere in the world. And we have an education system that teaches our children to be ashamed of themselves, in many cases, to hate our country, despite the love that we try so desperately to provide to them,"" Trump said, promising that ""all of this will change starting today, and it will change very quickly."" ""My recent election is a mandate to completely and totally reverse a horrible betrayal and all of these many betrayals that have taken place, and to give the people back their faith, their wealth, their democracy and indeed their freedom,"" he added. Trump ended his speech with this line: ""Our Golden Age has just begun."" WATCH:",Breitbart,2025-01-20T18:52:09+00:00,Politics,Polarised,https://www.breitbart.com/politics/2025/01/20/donald-trump-lights-up-political-class-election-a-mandate-to-reverse-horrible-betrayal-of-americans/
ESPN to Air 'National Anthem and MLK-Themed Content' Before National Championship Game,"ESPN took much heat for not airing the national anthem before the Sugar Bowl game between Notre Dame and Georgia following the New Year's Day terror attack in New Orleans. Regarding Monday night's national championship game between Notre Dame and Ohio State, viewers will get the national anthem and much more. According to a statement from ESPN, the network will air American the Beautiful , the national anthem, and the legacy of Martin Luther King Jr. ""With this year's CFP National Championship being played in Atlanta on the Martin Luther King Jr. holiday, pregame coverage on ESPN will feature 'America the Beautiful' and the National Anthem, along with MLK-themed content, including 'I Have a Dream' imagery and quotes. ESPN will also share footage from a community outreach event at Hope Hill Elementary in Atlanta, hosted by the CFP and conference commissioners, as well as include shots from additional impactful landmarks,"" ESPN said. The Fighting Irish are seeking their 14th national championship, while the Ohio State Buckeyes are chasing their 9th. Notre Dame head coach Marcus Freeman is an Ohio State alum. It will need to find ways to slow down a Buckeyes offense that has turned into a juggernaut since their shocking upset loss to archrival Michigan earlier this year. 0A tasks that will prove even more daunting as the Irish are without their best defensive lineman, Riley Mills. Ohio State and Notre Dame kick off at 7:30 p.m. EST on ESPN.",Breitbart,2025-01-20T18:49:24+00:00,Sports,Polarised,https://www.breitbart.com/sports/2025/01/20/espn-to-air-national-anthem-and-mlk-themed-content-before-national-championship-game/
Exclusive - Schweizer Rips Biden's Family Pardons: 'An Utter Disgrace',"Former President Joe Biden's pardon of five family members before leaving office ""confirms the deep corruption"" during the past four years, says Peter Schweizer, the president of the Government Accountability Institute and Breitbart Senior Contributor. Receiving clemency raises questions about potential wrongdoing, Schweizer suggested in his immediate reaction to the outgoing president's announcement. The family members pardoned include: James B. Biden, Sara Jones Biden, Valerie Biden Owens, John T. Owens, and Francis W. Biden. ""This pardon is an utter disgrace. A singular act that confirms the deep corruption he has denied for years. We have never had such a self-serving and corrupt president in our history,"" Schweizer said. Schweizer's book, Profiles in Corruption: Abuse of Power by America's Progressive Elite , first identified the family members as the ""Biden 5."" Then-President Biden claimed he pardoned family members because they were victims of politicization. ""My family has been subjected to unrelenting attacks and threats, motivated solely by a desire to hurt me — the worst kind of partisan politics,"" Biden wrote in a statement. ""Unfortunately, I have no reason to believe these attacks will end."" ""That is why I am exercising my power under the Constitution to pardon James B. Biden, Sara Jones Biden, Valerie Biden Owens, John T. Owens, and Francis W. Biden,"" he added. ""The issuance of these pardons should not be mistaken as an acknowledgment that they engaged in any wrongdoing, nor should acceptance be misconstrued as an admission of guilt for any offense.""",Breitbart,2025-01-20T18:31:32+00:00,Politics,Polarised,https://www.breitbart.com/2024-election/2025/01/20/exclusive-peter-schweizer-slams-biden-family-pardons-we-have-never-had-such-a-self-serving-and-corrupt-president/
President Donald Trump: 'I Was Saved by God to Make America Great Again',"President Donald Trump said he was ""saved by God to Make America Great Again,"" making the powerful remarks during his inauguration speech right after being sworn in as the 47th President of the United States. Trump said during the speech that he has ""been tested and challenged more than any president in our 250-year history"" in the last eight years alone. ""I've learned a lot along the way the journey to reclaim our republic has not been an easy one, that I can tell you,"" the president said before briefly speaking about the moment he almost lost his life while on the campaign trail in Pennsylvania in July. ""Those who wish to stop our cause have tried to take my freedom and indeed to take my life. Just a few months ago, in a beautiful Pennsylvania field, an assassin's bullet ripped through my ear, but I felt, then and believed even more so now that my life was saved for a reason,"" Trump said. ""I was saved by God to Make America Great Again,"" Trump said. RELATED VIDEO — Donald J Trump Sworn in for the Second Time, Now the 47th President of the United States ""That is why, each day, under our administration of American patriots, we will be working to meet every crisis with dignity and power and strength,"" Trump continued, promising to ""move with purpose and speed to bring back hope, prosperity, safety, and peace for citizens of every race, religion, color, and creed."" Trump ultimately declared January 20, 2025, ""Liberation Day"" for U.S. citizens. WATCH :",Breitbart,2025-01-20T18:31:21+00:00,Politics,Polarised,https://www.breitbart.com/politics/2025/01/20/president-donald-trump-saved-god-make-america-great-again/
