title,text,site,date,category,class,url
Rare Good News: 80% Of Germans Not Fascists,"INITIAL EXIT polls from German media indicate only 1 in 5 German voters think a Fourth Reich is a really good idea, WWN understands. The far-right AfD, a party so extreme they even give France's Marine le Pen the ick, surged in the federal election polls but only garnered 20% of first preference votes meaning it is likely CDU/CSU parliamentary group leader Friedrich Merz will be the next chancellor if he can form a coalition in part with Olaf Scholz's SPD party. ""What a minor glimmer of positivity in this shit-infested world that is hellbent on eating itself,"" reacted many to the relatively good news emanating from Germany that a party supported by Elon Musk and which considers Hitler to have been a 'communist' has only doubled it's vote. It is not clear when AfD leader Alice Weidel will allege immigrant criminals with multiple identities illegally voted for the CDU/CSU, but it is expected sooner rather than later and will be warmly received by those who respond to the AfD's 'not everyone in the SS was a criminal' messaging. ""We couldn't have done this without Trump surrendering to Putin, thank you so much for scaring the shit out of voters,"" confirmed Merz in his victory speech. Elsewhere, noticing the election had an 84% turnout, perplexed Irish people began searching on Google to confirm voting in Germany is probably mandatory and comes with the threat of the death penalty if you fail to cast your ballot.",Waterford Whispers News,"February 24, 2025",WORLD NEWS,Satire,https://waterfordwhispersnews.com/2025/02/24/rare-good-news-80-of-germans-not-fascists/
"IDF Condemn Vile Hamas Ceremony, Point Out They’ve Been Very Respectful Of 46,000 Palestinians They’ve Murdered","THE PARADING of the coffins of dead Israeli children by Hamas amid scenes of cheering has been met with near universal disdain and condemnation. Reacting to the events the IDF issued a number of statements, making the distinction between their just and moral actions in combat compared to the barbarism unique to Hamas, Lords of the Desert and Palestinian Mujahideen Movement terrorists. ""We're not animals like them. At least when IDF soldiers literally raped a Palestinian detainee to death in Sde Teiman we had the good grace and decency not to film and broadcast it,"" confirmed the IDF, an army which is also credited with making Gaza home to the most child amputees per capita in the world. In the wake of Hamas's macabre ceremony those advocating for a permanent end to the killing of Palestinian civilians reportedly feel 'pretty silly' in thinking the IDF is also wrong in committing an endless parade of war crimes. ""Of the over 46,000 Palestinians we've killed, can you recall any celebrations? Or any sordid visual metaphors like we've seen with Hamas, that show how corroded the soul and humanity of our enemy is?"" asked the spokesperson for an army that invites people to sign the side of missiles before they are sent to murder innocent civilians. The actions of Hamas have led the Israeli government to delay the release of over 600 Palestinians, held without charge, who won't be referred to as hostages. ""We have recently successfully kicked 40,000 people out of their homes in the West Bank, an area we are illegally occupying, and we will not permit any of them to return, but do we stage an unsightly and unedifying celebration over it? No,"" confirmed the IDF, during a media briefing in one of the West Bank homes they have taken over, draped in Israeli flags and posed for photos with Benjamin Netanyahu in.",Waterford Whispers News,"February 24, 2025",Category not found,Satire,https://waterfordwhispersnews.com/2025/02/24/idf-condemn-vile-hamas-ceremony-point-out-theyve-been-very-respectful-of-46000-palestinians-theyve-murdered/
Irish Public Asked Why It Doesn’t Reach Orgasm At The Thought Of Buying Bombs & Sending Soldiers To War,"DESPITE A growing sentiment amongst Irish politicians, Lockheed Martin and some sections of the Irish media, the overwhelming majority of the Irish public remain frustratingly resolute in their support for Ireland's neutrality. ""You know you should see a doctor about that because it's not normal to think Ireland being neutral is a good thing, I make a mess in my pants the second I hear someone say 'missile defence system',"" shared one dissenting voice from the arms industry, who said the security of his annual bonuses were at stake. Tánaiste Simon Harris recently stated Ireland should aim to double its spending on defence which would be broadly welcomed by a population who believe the Defence Forces to be under-resourced, however, when you factor in it would be people like Simon Harris in charge of spending that money support for such measures hovers at around 0%. ""We can be neutral but also have the ability to protect our own skies and seas,"" suggested one idiot member of the idiot public. Despite it being explained over and over again that big grown up nations should have the capability to blow up other big grown up nations, the Irish public remains unconvinced. ""Don't you understand how much money I'll make consulting with firms and facilitating defence spending deals,"" urged one impartial arms dealer intermediary penning a column in a national newspaper. ""I honestly don't know how someone can scroll social media and see all the mangled and dismembered corpses torn asunder by war and think 'I don't want to be part of that', it's juvenile in the extreme. Think of the security being in NATO would bring, well, sure the US threatens fellow members Canada and Denmark with stealing its territory but, but, c'mon we could all ring into Joe Duffy and demand Dublin youths are sent to the front lines,"" they concluded. View Results",Waterford Whispers News,"February 24, 2025",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2025/02/24/irish-public-asked-why-it-doesnt-reach-orgasm-at-the-thought-of-buying-bombs-sending-soldiers-to-war/
Trump Marks Third Anniversary Of Ukrainian Army Marching On Moscow In Unprovoked Act Of Aggression,"A SOLEMN US president Donald Trump laid a wreath in honour of all the innocent Russian civilians killed in the wicked invasion perpetrated by Ukraine three years ago as it attempted an unprovoked annexation of Russia. ""Unprovoked like you've never seen before,"" explained Trump to reporters as he said there was a special place in hell for dictators he makes up in his head such as Volodymyr Zelensky, and a nice place in heaven for actual dictators he personally fawns over including Vladimir Putin. ""Who invades likes that? Peace-loving politicians in Moscow were left with no choice,"" added Trump. Trump also confirmed Putin relayed his immense concern that any day now Moldova and Georgia could launch an unprovoked attack on Russia too, leaving the Russian leader no choice but to defend his people. ""It's a beautiful country, they have these women in Russia when you open them up they have a smaller woman inside them, but did Ukraine care? No, Zelensky carried out something called a 'three day special military operation' but here we are three years later, which as you know, is more days than three"". Trump also criticised Zelensky for attempting to extort the US by refusing to agree to giving his administration $500 billion in natural resources in exchange for nothing. ""And get this guy, he says he's willing to resign his position and step aside if I come up with an actual peace deal that isn't just me stealing the resources of his country and handing Russia land. See, that's right out of the Dictator 101 playbook,"" concluded Trump.",Waterford Whispers News,"February 24, 2025",WORLD NEWS,Satire,https://waterfordwhispersnews.com/2025/02/24/trump-marks-third-anniversary-of-ukrainian-army-marching-on-moscow-in-unprovoked-act-of-aggression/
"500,000 Liverpudlians Line Streets For Premier League Trophy Parade","TRAFFIC RESTRICTIONS remain in place across Liverpool city centre today as the Liverpool FC Premier League trophy parade takes place with as many as 500,000 of the club's supporters expected to line the streets. ""It's not often you get to prematurely celebrate a title win in February,"" said one supporter who has been downing the celebratory cans of beer since half time arrived in his team's 2-0 humbling of Man City yesterday evening. ""This is the best day of my life, the missus gave birth this morning too to our son, Premier League Champions 2025. The name just felt right"". While it is not out of the ordinary for football supporters to allow themselves to dream a little and bask in the almost-certain glory that is awaiting them, Liverpool supporters have confirmed they intend to conduct themselves in a manner that suggests they've never heard the phrase 'jinxing it'. ""Yeah yeah, Premier League champions, whatever! That's yesterday's news three months from now. We need to be thinking about the next steps and what players to get in, because after winning Champion's League as well we'll have the pick of any player across Europe,"" confirmed another fan while begging Virgil Van Dijk to empty champagne on him from the top deck of the victory parade bus. ""What's great about winning the Premier League yesterday is that we can just play the youth team for a lot of the games, give the big players a rest while allowing Darwin Nunez an extended run up front to score a few, get his confidence up,"" said Liverpool's most delusional fan at the parade today.",Waterford Whispers News,"February 24, 2025",Category not found,Satire,https://waterfordwhispersnews.com/2025/02/24/500000-liverpudlians-line-streets-for-premier-league-trophy-parade/
‘Undercover Boss’ Revival Sees Tim Cook Install Anti-Suicide Nets In Chinese Factory,"LAST BROADCAST in 2022, US reality TV show 'Undercover Boss' has snagged a huge name in business for its latest revival; Apple CEO Tim Cook. Leaked footage from the first episode seen by WWN shows the Apple head honcho travel to Foxconn factory in China to secretly observe Apple's supply chain firsthand ahead of the iPhone 16e launch. ""It really humbled Tim, he said his favourite part was the people, and the installing of the anti-suicide nets at the factories that prevents workers from jumping out the windows. 'This is real, god-honest work' he said,"" remarked one Apple source. ""He didn't feel like a high-flying CEO, he just felt like one of the guys, he was treated like a peer,"" said the source, of treatment which meant he too had his apartment searched and was beaten up after coming under suspicion of taken a prototype home with him. The hallmark of 'Undercover Boss' is when the chosen boss often experiences ideology-shifting revelations having now experienced what his workers do on a day-to-day basis, and as a result institutes huge changes. And Cook was no different. In a moving scene Cook tells one supply chain worker that it his dream one day to have AI robots throwing themselves off buildings instead of employees.",Waterford Whispers News,"February 21, 2025",BUSINESS,Satire,https://waterfordwhispersnews.com/2025/02/21/undercover-boss-revival-sees-tim-cook-install-anti-suicide-nets-in-chinese-factory/
Suspicions Raised As Local Boyfriend Denies All Knowledge Of Sydney Sweeney,"WHILE local woman Ciara Fagan would have laughed off boyfriend of two years Simon Skelly waxing lyrical about Hollywood star Sydney Sweeney's ample chest, things took a turn for the paranoid after Skelly chose to deny all knowledge of the woman when her name was brought up. ""Hmmm no, I'm searching my brain here but no, not heard of her. She's a musician is it?"" offered Skelly as Fagan, scrolling through the Netflix home menu, had remarked 'ugh, what a babe' upon seeing the Euphoria and Anyone But You star. With the seemingly hastily cobbled together words, advising that he is unaware of her existence, Skelly has merely sparked Fagan's suspicions and placed himself in peril. ""Great, now I think you're just tugging your rope to her every chance you get,"" Fagan said, implying Skelly's cross-my-heart contention that he has never heard of the pin-up lusted after by the internet is certifiable 'bullshit'. ""No, no, this isn't right at all Simon. You're getting weird with it. I know it, why couldn't you just say you'd smother me with a pillow if it meant you got to be smothered by her pillows like a normal guy would. Simon, what the fuck?"" insisted Fagan, who had no idea there was this sinister secret-holding component to her boyfriend. Fagan insisted that it is perfectly normal to admit to finding famous people, regarded as among the most beautiful in the world, attractive but to flat out pretend you've never heard of them is disturbing. ""Oh, so you're saying she's like a sex symbol or something? Right, right, interesting. Personally, I think people should be judged on their merits, like their acting y'know?"" added Skelly, creating yet more suspicion and problems for himself.",Waterford Whispers News,"February 21, 2025",Category not found,Satire,https://waterfordwhispersnews.com/2025/02/21/suspicions-raised-as-local-boyfriend-denies-all-knowledge-of-sydney-sweeney/
"Is Parenting A Private Matter Or Jesus, Jane Has No Control Over Her Little Tearaways At All At All?","'THERE BUT for the grace of God go I'. A mantra that serves so many well who have the foresight to accept their own parenting journey has been filled with trying days when despite their best efforts they fell well short of their own standards. Raising a family is not easy, all parents know this and would hate for someone to judge them on their worst day in the job. So, baring all this in mind, local residents in Tramore have come together to intensely malign Jane McHacklin's 'parenting', if that's what you could call it. ""They're always swinging out of her, and the eldest fella is already off the rails. D'ya ever see him when she's walking to the shop, he's forever running across and back on the roads,"" observed one local gossip, keen to judge everyone but themselves. ""The screams out of the one in the pram. Christ. Does she not know there's people watching. She's no idea how to discipline them,"" added another willing participant. ""Banging sticks against people's wall the middle fella was the other day and she didn't say a thing. Zane, what sort of name is Zane?"" pointed out a neighbour of McHacklin's. ""I wouldn't mind but her own parents were lovely people. The mother kept the house awful tidy. But have you caught a glimpse of her hallway when the door's open? There's war zones in better order. How do the kids stand a chance going forward?"" concluded one neighbour, pondering if a call into social services would cheer her up.",Waterford Whispers News,"February 21, 2025",Uplifting Viral Content,Satire,https://waterfordwhispersnews.com/2025/02/21/is-parenting-a-private-matter-or-jesus-jane-has-no-control-over-her-little-tearaways-at-all-at-all/
Trump Diverts Ukrainian Military Aid To Russia,"JUST A DAY after labeling Ukrainian president Volodymyr Zelensky a dictator, US president Donald Trump has announced the redirecting of all ongoing military aid Ukraine is in receipt of, diverting it to Russia instead. ""Our military is spending $44 trillion a day on condoms for Zelensky, who as we all know, is America's greatest enemy. I say put that money into the trusted hands of a real friend, Vladimir Putin"" announced Trump in an all-caps post on social media, as all US policy is formally announced these days. With the Russian ruble halved in value in a decade, interest rates at 21%, electricity cost up 250%, $600bn of their assets held abroad frozen and 40% of all government spending going on the war, many see Putin's recent efforts at securing a peace deal with the US as a last ditch attempt to avert economic disaster in Russia. All the more reason the injection of military aid has been defended by Russian bot accounts with American flags in their X profiles; calling the move a sober, common sense move that brings an end to the madness of DEI. ""It brings me to tears when you see Russian prisons emptied out and those men sent to die on the front lines, we could be giving Russia HAWK defence systems and munitions, to push back this unjust invasion by Ukraine, which as you know, started the war"" said Trump, outlining his rationale for the latest move. ""Everybody is saying it; Ukraine is Marv and Harry AKA the Wet Bandits from Home Alone, I preferred the sequel, and Putin is the resourceful and adorable Macaulay Culkin who using only his wits and tricks defends his home, a real underdog story"" continued Trump with no sign of anyone in his administration willing to correct him.",Waterford Whispers News,"February 20, 2025",POLITICS,Satire,https://waterfordwhispersnews.com/2025/02/20/trump-diverts-ukrainian-military-aid-to-russia/
New Champion’s League Format SLAMMED For Including Low Quality Minnows Like Man City,"UEFA has been on the receiving end of fans ire after the knockout playoff round of the new and expanded Champion's League format featured a number of foregone conclusions such as Real Madrid's routine 6-3 agg victory over Manchester City. ""Why are they letting these random teams who can't compete in the competition? It devalues the Champion's League,"" said one fan on social media. The revamped format was billed as creating more high stakes fixtures, however fans have cited the existence of such an obvious 'dead rubber' as proof the new format is dead on arrival. ""We were promised more exciting games but the likes of Brest and this Manleicester City getting thumped, it's not worth watching until the semis,"" confirmed another football fan. Despite some football boffins insisting the inclusion of lesser teams with inferior income gives them a chance to compete and grow, others aren't convinced. ""Great, another stats-padding game for Mbappé but playing against inferior opposition with a defence made of cardboard doesn't make you the goat. Keep them in the Conference League where they belong"" offered one Champion's League hater. ""Look it's nice they got that consolation goal, their fans will never forget it, they'll make flags with the goal on it. But if this competition wants to claim with a straight face it's the elite of the elite, they need to restrict access for a team like this,"" added another fan of City, 4-1 losers to Sporting Lisbon earlier in the league round.",Waterford Whispers News,"February 20, 2025",Football,Satire,https://waterfordwhispersnews.com/2025/02/20/new-champions-league-format-slammed-for-including-low-quality-minnows-like-man-city/
