title,text,site,date,category,class,url
Wife Unaware That Movie Will Answer All Her Questions If She Just Pays Attention,"SANDUSKY, CO - Steve and Leslie Hendrickson were having movie night last week but the experience was diminished by Leslie's constant question-asking, reports Steve. ""I don't think she realizes that every question she asks is literally going to be answered by the movie if she just watches it,"" Steve recalled. ""Like, that's what stories do. They present questions, then the story answers those questions as the plot progresses. I thought people knew this."" During the 115 minute movie, Leslie asked a total of over 437 questions, Steve claims. That's nearly four questions a minute. Questions included: ""Oh my gosh, what is that dart stuck in that tree, is that poisonous? I wonder who left it there?"" ""Can he trust these guys he's going into the temple with? They seem like they are up to no good."" ""Oh no, how is Harrison Ford going to get out of the cave now?"" ""What happens if he takes that treasure, something bad? How is he going to get it off of there?"" ""Is that big rock going to smoosh him?"" Experts say that the issue of wives not understanding that movies answer most questions by the end of the movie has been a problem for men since movies were invented. ""What we need is better education,"" said Harold Oliver of Trenton University. ""Women need to learn from a young age how stories work. And how talking during movies is annoying."" Steve says that, despite the constant questions during movies, he loves his wife and has found a solution that works for both of them. ""I've just decided to only watch stupid movies I don't care about with her,"" Steve said. ""Things are going great."" At publishing time, sources had confirmed that Leslie was forced to shush Steve several times during their marathon viewing ofGilmore Girls.",The Babylon Bee,2019-08-19,Life,Satire,https://babylonbee.com/news/wife-unaware-that-movie-will-answer-all-her-questions-if-she-just-pays-attention
Powerful: LeBron James Pulls Over To Lecture Homeless Man On His White Privilege,"LOS ANGELES, CA - We all know LeBron James is an amazing human being, but seriously. Just when we thought he couldn't get any better, local media caught this powerful moment and WE CAN'T EVEN. Cameras caught the inspiring, heartwarming moment LeBron approached a homeless man last week at one of LA's many tent cities. According to sources, the homeless man held out his hand to LeBron's approaching car to ask for some spare change. What happened next gives us faith in humanity again. The world-famous NBA player looked at the poor man's outstretched hand. Smiling kindly he said, ""Silver and gold have I none, but in the name of #BlackLivesMatter, I offer you the gift of social enlightenment!"" LeBron James then proceeded to lecture the lucky panhandler on his white privilege, offering helpful ways to ""be better"" in the future. ""I was shocked,"" said Mike ""CrazyEyes"" McCluckerson, the homeless Marine Corps vet after LeBron's helpful exhortation. ""I was raised by a family of possums under an abandoned bridge, but I had no idea how many advantages my whiteness had given me in life. Furthermore, Mr. James illuminated a host of unconscious biases I harbored in my heart without even knowing it. This moment marks a turning point in my never-ending journey to relinquish the mantle of privilege Western colonialism has afforded me."" Mr. McCluckerson then offered Lebron James his scarf as a token of thanks. James didn't have any cash to offer the homeless man, but he did make a $100 donation to Black Lives Matter in his name. What a BEAUTIFUL gesture. Go, LeBron!",The Babylon Bee,2020-07-01,Celebs,Satire,https://babylonbee.com/news/powerful-lebron-james-pulls-over-to-lecture-homeless-man-on-his-white-privilege
CNN Publishes Real News Story For April Fools' Day,"ATLANTA, GA - Fooling thousands of readers in a prank that the cable news organization said was ""just for fun,"" CNN published a real news story for April Fools' Day this year. The story simply contained a list of facts, with no embellishment, editorializing, or invented details. The story also didn't cite shaky ""anonymous sources"" and only quoted firsthand witnesses to the event. It was completely factual without any errors whatsoever. Baffled CNN fans immediately knew something was up. ""I was reading this story, and I was like, 'Wait, what is this?'"" said one man in New York who relies on CNN for his fake news every morning. ""They really got me good. Then I looked up at the calendar and I realized I'd been duped. A classic gag!"" ""Those little rascals!"" he added, shaking his head and laughing goodnaturedly. ""As long as they return to their regularly scheduled fake news tomorrow, we're good. We're good.""",The Babylon Bee,2019-04-01,Politics,Satire,https://babylonbee.com/news/cnn-publishes-real-news-story-for-april-fools-day
Fisher-Price Releases 'My First Peaceful Protest' Playset With House You Can Actually Burn Down,"EAST AURORA, NY - The toy geniuses at Fisher-Price have announced a brand new toy made just for leftist parents and their kids: the My First Peaceful Protest playset. The kid-size clubhouse will come with several varieties of spray paint so kids can tag the tiny building with their own empowering slogans. It will also be made out of cardboard, allowing the cute little tikes to burn the whole thing down if their demands are not met. ""Here at Fisher-Price, we are steadfastly committed to social justice,"" said toy designer Camden Flufferton. ""We need to teach our kids what democracy looks like, and there's no better example of democracy in action than violent vandalism and arson. We hope this new playset will serve as an inspiration for parents wanting to teach their kids how to threaten citizens with violence whenever their demands are not met."" The set will also come with toy televisions, cell phones, jewelry, and clothing, allowing kids to simulate looting before they torch the entire set. The set will be available in stores for $399 because of capitalism. Experts are questioning the wisdom of this move by Fisher-Price, mainly because people in the target market don't typically have any kids. ""We know we'll probably only sell, like, 3 of these,"" said Flufferton, ""but selling them isn't the point. We just need you to know we're on the right side of history.""",The Babylon Bee,2020-09-21,Politics,Satire,https://babylonbee.com/news/fisher-price-introduces-supreme-court-protest-playhouse-that-can-be-vandalized-and-burned-down
CNN Uncovers Evidence Hero Dog Sniffed Dozens Of Butts Back In College,"U.S. - Everyone praised the classified ""Hero Dog"" for taking down ISIS leader Abu Bakr al-Baghdadi. Everyone, that is, except CNN, who quickly searched through the dog's internet history and college yearbooks. Sure enough, CNN found a picture of the Hero Dog partying at obedience school. In the picture, the dog is seen sniffing a butt without consent. ""Oh yeah, good old [redacted]? He was nuts!"" said one German Shepherd who attended Old Yaler Obedience School with the hero dog, according to a CNN report. ""He was always sniffing any butt he could find. Cats, dogs, humans, you name it. He didn't have a preference. He identified as pansniffual."" Troubling reports from classmates indicate that the dog sniffed all these butts without consent. The dog wrote cryptic things in his college yearbook, apparently referring to different butt-sniffing maneuvers such as the Surprise Sniffarooski and the Canine's Triangle.The dog has issued a statement: ""I like butts. I've always liked butts. I still like butts, but I never sniff butts to the point of excess. Who's a good boy? I am."" Democrats immediately called for the dog to be court-martialed and for the death of Baghdadi to be overturned.",The Babylon Bee,2019-10-28,World,Satire,https://babylonbee.com/news/cnn-uncovers-evidence-hero-dog-sniffed-butts
Alyssa Milano Confirms FBI Investigators Have Not Reached Out To Her To Get A Celebrity's Opinion On Kavanaugh Yet,"LOS ANGELES, CA -Charmedactress and all-around knowledgeable person about politics Alyssa Milano confirmed Tuesday that FBI investigators still have not reached out to her to get a celebrity's opinion on Kavanaugh. ""This investigation is a sham!"" she wrote on her Twitter account. ""How can FBI investigators possibly get to the bottom of all this stuff Kavanaugh definitely did if they don't talk to a woman who acts in movies and stuff?"" Milano further stated she did try to contact a local FBI field office to let them know she was available for an interview, but the agents said they likedBuffy The Vampire Slayera lot more thanCharmedback in the day and so would not be talking to her. At the end of the 122-tweet long thread, Milano demanded the FBI talk with the entire cast ofDawson's Creekbefore coming to any kind of conclusion. ""It's only fair that the FBI be thorough and take in a bunch of celebrity opinions to unveil the truth."" At publishing time, Lena Dunham had also come forward to confirm no FBI investigators had asked for her input.",The Babylon Bee,2018-10-02,Politics,Satire,https://babylonbee.com/news/alyssa-milano-confirms-fbi-investigators-have-not-reached-out-to-her-to-get-a-celebritys-opinion-on-kavanaugh-yet
Democrats Warn We Shouldn’t Reopen The Country Until We Can Be Safe From Trump Getting Credit For A Good Economy,"WASHINGTON, D.C. - While President Trump and some Republican governors are pushing to reopen the country soon, Democrats are much more cautious as they see a looming disaster if America ends the shutdown early: Trump getting credit for a growing economy. ""Right now, we have record joblessness, and GDP is certainly going to take a huge hit,"" said Speaker of the House Nancy Pelosi. ""That's exactly what you want in an election year when you're running against an incumbent. If we reverse that too soon, we're basically helping Trump's reelection."" ""If we reopen now, it could be an absolute disaster,"" added Senate Minority Leader Chuck Schumer. ""We could have people in November saying, 'Wow. Things are getting better. Trump is doing a great job.' It's hard to imagine anything worse than that."" Pelosi and Schumer said that ""out of an abundance of caution,"" they need to wait to make sure things stay pretty bad until after the election, as that will be the only way to stave off another Trump term. ""Oh, and I guess if we reopen things too soon,"" Schumer added as an afterthought, ""it could also lead to a resurgence of people dying."" ""Well, we'd have to hope,"" Pelosi said, ""or it would look like Trump knows what he's doing.""",The Babylon Bee,2020-04-27,Politics,Satire,https://babylonbee.com/news/democrats-say-we-shouldnt-reopen-the-country-until-we-can-be-safe-from-trump-getting-credit-for-a-good-economy
Least Masculine Society In Human History Decides Masculinity Is A Growing Threat,"U.S. - As society becomes increasingly dominated by nerds, hipsters, and computer programmers, people have fixated on what they think is our biggest problem: masculinity. ""It's just toxic and causes nothing but problems,"" said Elisha Mcewen, a vegan activist and no threat whatsoever to spiders or tight jar lids. ""I was sharing my feelings on masculinity with other men in my drum circle, and we all agreed that if we ever encountered masculinity, we would run far away."" Masculinity is said to have in the past been the cause of such things as violence, war, bullying, defeating the Nazis, carving society out of untamed wilderness, and landing men on the moon, but now masculinity is being driven out of society to make sure nothing like those things ever happens again. However, there are reports that masculinity still lurks out there, which is a source of anxiety to modern men and causes them to have upset tummies. ""I am just so worried that somewhere out there someone is still knowingly producing testosterone,"" said Wyatt Lockhart, a Twitch streamer who had never thrown a punch outside of a video game. ""I constantly have to find a safe place to calm down just thinking about it."" Duke Miller, a Marine sergeant and one of the few remaining examples of traditional masculinity, was asked about his feelings on the negative view of masculinity, but he seemed confused by the word ""feelings"" and then punched out an elk just because.",The Babylon Bee,2019-01-17,Worldviews,Satire,https://babylonbee.com/news/least-masculine-society-in-human-history-decides-masculinity-is-a-growing-threat
Bernie Sanders Criticizes Billionaire For Giving Money To Students Instead Of The Needy Federal Government,"WASHINGTON, D.C. - Bernie Sanders's favorite pastime is calling out evil billionaires for their evilness. Sanders found the perfect opportunity to do this once again as billionaire Robert F. Smith announced he would be paying off the student debt of those who graduated from Morehouse College. Sanders pointed to the egregious waste of funds as a perfect example of what happens when billionaires are allowed to keep their money. ""Why does this evil billionaire think he knows what's best for his money when clearly the incredibly efficient federal government could put it to better use?"" Sanders said at a rally Monday. ""This is just another example of corrupt billionaires hoarding their money instead of using it for the greater good by giving it to the government."" ""We can't stand for it, we won't stand for it, and we will get this reversed if it's the last thing we do,"" Sanders said to cheers from the crowd. ""His money is as good as ours.""",The Babylon Bee,2019-05-20,Politics,Satire,https://babylonbee.com/news/bernie-sanders-criticizes-billionaire-for-giving-money-to-students-instead-of-to-the-government
Embarrassed Trump Realizes He’s Had Russia And Ukraine Confused This Entire Time,"WASHINGTON, D.C. -- The new presidential administration experienced a rare public relations gaffe, as an embarrassed President Donald Trump realized that he's had Russia and Ukraine confused this entire time. The mistake was eventually discovered by a White House aide, who began to ask questions after the president had made public assertions that Ukraine was responsible for starting the war. Upon further investigation, the aide privately notified Trump that he had the two countries mixed up. ""They're the other way around, from what I understand,"" Trump told reporters at an impromptu press conference in the Oval Office. ""The country that started the war by invading the other was apparently Russia. It's easy to get the two confused, honestly. They're right next to each other. And cold winters. So very cold. I thought that little Zelenskyy guy was from Russia this whole time. He sounds Russian."" An administration insider said Trump's realization of the mix-up could potentially change the entire outlook for peace talks. ""It's kind of a major difference,"" the source said. ""He was taking such a hardline stance against Ukraine because he thought they started the war when Russia did the invading. We had to get out a big map and show him that Russia was actually the big one and Ukraine was the little one. It's ok, he's got it figured out now."" At publishing time, Trump had proposed a newly revised peace plan in which the United States would simply take over both Ukraine and Russia as new territories. An elite force from DOGE uncovers the most absurd waste of taxpayer dollars.",The Babylon Bee,2025-02-21,Politics,Satire,https://babylonbee.com/news/embarrassed-trump-realizes-hes-had-russia-and-ukraine-confused-this-entire-time
