title,text,site,date,category,class,url
Biden Addresses Nation While Hanging From Branch On Side Of Cliff,"WASHINGTON—Using his platform to plead for Americans to lend him a hand, President Joe Biden addressed the nation Monday while hanging from a branch on the side of a cliff. “Our democracy has never before hung in the balance more than it has at this moment when I am in danger of plummeting 50 feet to those sharp rocks below,” said Biden, who implored the U.S. populace to set aside its differences and find a long stick, a rope, or, preferably, a helicopter that they could use to return him to stable ground. “What’s important is not what led us to this point, but rather how we choose to move forward in helping me back up. Even a carefully placed mattress or pile of sofa cushions would do. My fellow Americans, I urge you to act fast, as a small bird has landed on my head and is now pecking at me.” At press time, a Gallup Poll had found that 70% of Americans opposed Biden being rescued.",The Onion,2024-01-01T11:45:00+00:00,Politics,Satire,https://theonion.com/biden-addresses-nation-while-hanging-from-branch-on-sid-1851106795/
Marriage Counselor Sides With Hotter Spouse,"ANCHORAGE, AK—Stating that she had heard both perspectives and could understand their frustrations, marriage counselor Laurie Hartford reportedly told couple David and Julia Carter that she ultimately had to side with the hotter spouse. “So, I’ve listened to everything you’ve had to say, and I’ve come to the conclusion that while David does seem to be emotionally withholding, he’s also at least two points hotter,” said the therapist, who rushed to note that, in all fairness, she needed to take into consideration that she would at best describe the female half of the relationship “as, like, a six even on her best day.” “I’ve spent hours listening to you pour out your hearts and that’s never easy, so pat yourselves on the back. But, frankly, only one of you has bothered to comb your hair or put on a nice shirt at these sessions. I’m not in any way trying to invalidate your experiences. All I’m saying is that only one of you—David—has an ass that you could bounce a quarter off, and the other one is kind of an uggo, if that makes sense?” Hartford went on to say that it might be helpful if Julia stayed at home for their next sessions so that they could spend more time understanding where, exactly, David’s hotness came from.",The Onion,2024-01-09T11:30:00+00:00,Local,Satire,https://theonion.com/marriage-counselor-sides-with-hotter-spouse-1851143488/
Wealthy Dad Surprises Child With Tree House He Can Airbnb For Passive Income,"WILMETTE, IL—Telling the child not to peek as they walked into the backyard, local wealthy man Kenneth Schweitz reportedly surprised his son Tuesday with a tree house that the young boy could Airbnb for passive income. “It’s time you got your own little space that can be rented out for short-term stays and used to produce a reliable revenue stream,” a visibly excited Schweitz said as he took his hands off his son’s eyes to reveal the fully appointed  structure built into the tree’s branches, stressing to the boy that he would not have to do any real work for the lodging to generate substantial returns. “Your mom and I can help you decorate it, but then it’s all up to you to decide how much to charge per night and which cleaning service to hire, bud. After that, you can sit back and collect thousands of dollars a month. How cool is that? You and your little friends are going to have so much fun building your little real estate empire. Enjoy!” At press time, sources reported Schweitz’s son was enthusiastically climbing into the tree house to serve an eviction notice to the low-income family currently living there.",The Onion,2024-01-09T17:30:00+00:00,Local,Satire,https://theonion.com/wealthy-dad-surprises-child-with-tree-house-he-can-airb-1851112919/
"Glowing, Pulsating Hair Product Takes Control Of Gavin Newsom’s Thoughts","SACRAMENTO, CA—As an otherworldly glow emanated from the California governor’s meticulously sculpted coiffure, sources confirmed Friday that the pulsating hair product on Gavin Newsom’s head had taken control of his thoughts. “There will be no bills signed, no presidential campaign—there will only be hair,” said the disembodied voice emanating from the greasy, slicked-back mass atop Newsom’s skull, his hair reportedly growing into thick, powerful tendrils long enough to choke out his political opponents anywhere they might try to hide in the State Capitol. “There will be no clemency for those who refuse to succumb to the wet and shiny hair. With these mighty strands, I command the wildfires and the earthquakes, the droughts and the floods!” At press time, sources confirmed Newsom’s hair product had evicted several homeless people seeking shelter within the throbbing gelatinous nest upon his head.",The Onion,2024-01-19T17:45:00+00:00,Politics,Satire,https://theonion.com/glowing-pulsating-hair-product-takes-control-of-gavin-1851160421/
Gen Z Announces Julie Andrews Is Problematic But Refuses To Explain Why,"​​NEW YORK—Standing before a crowd of millennials, Gen Xers, and baby boomers, members of Generation Z announced at a press conference Wednesday that actress Julie Andrews was problematic, but they refused to explain why. “You know what she did—you just don’t want to admit it,” said Gen Z spokesperson Taylor Collaco, who rolled her eyes in response to requests from those who wanted to know what exactly theSound Of Musicstar had said or done to have earned the ostracism of millions of Americans ages 12 to 27. “Yes, that Julie Andrews. Has she been so normalized that you can’t even see it? Yikes. Oh, come on, it’s not my job to educate you.” At press time, Gen Z had dropped a hint that it had something to do with the Genovian monarchy.",The Onion,2024-01-24T13:44:00+00:00,Entertainment,Satire,https://theonion.com/gen-z-announces-julie-andrews-is-problematic-but-refuse-1851180352/
MrBeast Announces He Has Resurrected Everyone Buried At Arlington National Cemetery,"GREENVILLE, NC—Telling viewers of his latest charitable video to prepare themselves for his “most epic challenge yet,” 25-year-old influencer Jimmy “MrBeast” Donaldson announced Friday that he had resurrected everyone buried at Arlington National Cemetery. “You might not know this, but sadly, over 400,000 of our nation’s most decorated veterans have to spend eternity dead and underground,” the content creator says in the video, explaining that he has found a scientist willing to help him reanimate the dead and has spent millions of dollars to pump 75,000 volts of electricity into each plot of the hallowed cemetery. “Thanks to this amazing procedure, every single one of these deserving corpses has crawled out of the ground and begun roaming the earth again, totally free of charge to them and their families. They’ll also receive $10,000 in cash. Frankly, it’s a tragedy we’ve let these American heroes rot in their graves for this long.” Reacting to a moment in the video when MrBeast gives a reanimated World War II veteran a Lamborghini, viewers expressed outrage toward the apparent ingratitude of the undead soldier, who only screams, “Why did you do this? Kill me…kill me!” into the camera.",The Onion,2024-02-02T13:24:00+00:00,News,Satire,https://theonion.com/mrbeast-announces-he-has-resurrected-everyone-buried-at-1851217565/
Introverted Cowboy Struggling To Round Up Posse,"BANDERA, TX—Admitting that he was actually a lot more shy and reserved than folks might think, introverted cowboy Cassidy Walsh sheepishly told reporters Friday that he’d been struggling lately to round up a posse. “While I might seem confident and outgoing at times, the truth is, I’m the sort of feller who needs to recharge at the end of a long day ridin’ the range with a bunch of cowhands,” said Walsh, adding that he also experienced “a might fair bit of social anxiety” that probably stemmed from a fear his attempts to organize a posse would end in rejection. “Don’t get me wrong, I enjoy spending time with ol’ buckaroos like myself. It’s just that your pal Cassidy can only handle so much hootin’ and hollerin’ before he plumb runs out of steam. Now if you’ll excuse me, I’m gonna kick up my spurs and snuggle up in my bedroll with a Louis L’Amour novel.” At press time, another successful train robbery had reportedly been carried out in the area by a tireless gang of extroverted outlaws.",The Onion,2024-02-06T15:16:00+00:00,Local,Satire,https://theonion.com/introverted-cowboy-struggling-to-round-up-posse-1851226175/
Country Stations Refuse To Play Beyoncé’s Music After Artist Condemns Iraq War,"HOUSTON—Calling the popular musician traitorous for failing to support President George W. Bush in a time of crisis, thousands of country stations across America reportedly refused to play Beyoncé’s music Thursday after the artist condemned the Iraq War. “If she doesn’t want to support our troops risking their lives out there  for the cause of freedom, then we don’t need her,” said  country radio executive Hunter Roeloffs, one of many station owners who  blacklisted the recent singles “Texas Hold ’Em” and “16 Carriages”  after controversial comments in which the star expressed reservations about the U.S.-led Coalition invasion of Iraq—remarks that also led to a reported drop in ticket  sales and Beyoncé losing a sponsorship deal with Lipton. “Unlike Miss  Knowles, we’re proud Americans here at 100.3 the Bull. We support  freedom, whether it’s here or in the Middle East. So when she says  innocent lives will be lost, I can’t help but wonder how she could  possibly think a bloodthirsty dictator like Saddam Hussein is innocent.  And then there’s that line of hers about being ashamed of President  Bush? Well, we’re ashamed of her. How about that?” At press time,  Beyoncé had attracted additional criticism from the country music scene  after rebranding herself as the Chicks.",The Onion,2024-02-15T19:00:00+00:00,Entertainment,Satire,https://theonion.com/country-stations-refuse-to-play-beyonce-s-music-after-a-1851261135/
"‘Stab Him! Stab Him, You Cowards!’ Says Terrified Kamala Harris To Aides After Plunging First Knife Into Biden’s Back","WASHINGTON—Moments after pulling shut the door to the Roosevelt Room and locking it behind her, a terrified Vice President Kamala Harris reportedly told aides to “Stab him! Stab him, you cowards!” on Friday after she plunged a knife into President Joe Biden’s back. “What are you waiting for, you fools? Strike now! Strike before the opportunity goes cold!” said the blood-dappled vice president, who, as her staff appeared to grow uncertain of the blades in their shaking hands and backed away toward the exit,  reminded each panicked aide in turn that they had pledged their fealty for this day. “Think of all I’ve promised you. Think of all we stand to gain. Quick, now, the first blow has been rendered. There is no going back. We’re confederates in this. We must act now or be damned by inaction!” At press time, sources confirmed President Biden had complained to an assistant of a tightness in his shoulder and returned to the Oval Office with the knife still protruding from his back.",The Onion,2024-02-16T11:15:00+00:00,Politics,Satire,https://theonion.com/stab-him-stab-him-you-cowards-says-terrified-kamal-1851243467/
Emerging Filmmaker Malia Obama Changes Surname To Scorsese,"PARK CITY, UT—Noting that she did not want her parents’ fame to distract from her Sundance premiere, industry sources confirmed Thursday that emerging filmmaker Malia Obama had changed her  surname to ‘Scorsese.’ “Although her legal name is still Obama, Malia is officially promoting her short filmThe Heartunder the pseudonym Malia Martin Scorsese,” said Sundance spokesperson Shelby Fleming, adding that the 25-year-old had been using the more neutral, nondescript moniker since writing for Donald Glover’s television seriesSwarm. “When people see the last name Scorsese, they don’t see the daughter of a former president. They see a blank slate. She’s hopeful this slight change will help people take her art much more seriously.” At press time, Obama announced that her next film would be a gritty portrait of 1970s Little Italy titledMean Streets.",The Onion,2024-02-22T18:40:00+00:00,Entertainment,Satire,https://theonion.com/emerging-filmmaker-malia-obama-changes-surname-to-scors-1851278946/
U.S. Airdrops Rubble Into Gaza,"GAZA CITY, GAZA—Part of an ongoing mission to provide the struggling population of Gaza with necessary detritus, the United States announced Monday that it had airdropped rubble into the war-torn Palestinian territory. “Over the weekend, the U.S. Air Force dropped 38,000 tons of rubble directly into Gaza to supplement the existing supply of wreckage currently on the ground,” said President Joe Biden, who gave the order to have cargo planes drop the misshapen slabs of stone, broken concrete, and shards of glass. “Of course, we remain committed to sending our rubble convoys through the border crossing at Rafah and will continue to explore every avenue of delivering debris to what remains of the Gaza Strip.” At press time, Israel had announced a new set of restrictions on the rubble it would allow into Gaza, limiting  shipments to mud and sand.",The Onion,2024-03-04T19:10:00+00:00,News,Satire,https://theonion.com/u-s-airdrops-rubble-into-gaza-1851305713/
Ozempic Maker Triumphantly Announces New Drug That Makes Obese Person Disappear Entirely,"COPENHAGEN, DENMARK—In what the pharmaceutical company hailed as a major breakthrough in weight management, Ozempic maker Novo Nordisk triumphantly announced a new drug Friday that makes obese people disappear entirely. “Although our previous treatment could significantly reduce the patient’s BMI, what we’re talking about here is a total loss of bodily weight down to the last ounce,” CEO Lars Fruergaard Jørgensen said of the new drug, which will be released under the name Evanovia and promises to eliminate 100% of a user’s fat, flesh, limbs, and vital organs. “The flaw we discovered in our earlier efforts was that they left behind the core of the problem: the overweight person themselves. Our trials with Evanovia, however, show that it now takes just one injection and within 12 hours any obese individual will start rapidly thinning before finally melting out of existence completely.” At press time, critics had warned about a rash of influencers, models, and actresses who were using the drug to vanish despite not being overweight themselves.",The Onion,2024-03-08T19:00:00+00:00,News,Satire,https://theonion.com/ozempic-maker-triumphantly-announces-new-drug-that-make-1851320436/
"Study: Millennial Women Forgoing Dating Apps In Favor Of Standing On Misty Jetty, Calling Out To Sea","KINGSTON, RI—In a new study of dating trends published Tuesday, researchers at the University of Rhode Island reported that many millennial women were beginning to forgo apps such as Tinder, Bumble, and Hinge in favor of standing on a misty jetty and calling out to sea. “In our survey of single Americans, we found that women expressed a growing dissatisfaction with online dating, preferring instead to place themselves upon a fog-enshrouded seaside bluff where they could await potential mates with arms open wide, their dresses swaying in the brackish wind,” said sociologist Helen David, who conducted extensive interviews with singles between the ages of 28 and 43, discovering that women who deleted dating apps from their phones and attempted the method were six times more likely to meet a passionate, lovelorn wanderer from afar. “This generation appears to have become disillusioned with the superficiality of meeting people online, and we see a broader trend of women returning to old-fashioned methods of matchmaking, such as setups from friends, singles mixers, and whispering ‘Return to me’ into the dark horizon as they stand alone amid the moonlit cliffs along the craggy shore.” David went on to note that the ghostly apparitions of gentle sailors lost at sea, however, still overwhelmingly preferred to use Tinder.",The Onion,2024-03-20T11:00:00+00:00,News,Satire,https://theonion.com/study-millennial-women-forgoing-dating-apps-in-favor-o-1851338275/
